mip_lower,n
lack of voice,1
lack of voting,1
lack of well paying fulltime jobs,1
lack of work,1
laisser les gens decider pour leurs vies,1
land,1
land agreements,1
language,1
"langue française, environnement, distribution de la richesse",1
large deficit,1
lavortement,1
law & order,1
laïcité du québec,1
"le bien et l""avenir du peuple",1
le bien être des citoyens,1
le bien être du peuple,1
le bien-être des 65 ans et plus,1
le bien-être des aînés,1
le bonheur,1
le budget du canada,1
le budget équitable entre province,1
"le budget, il a dépensé l’argent sans compter c’est inacceptable",1
le budjet,1
le bugdet,1
le champ de competence des provinces,1
le changement du mode de scrutin,1
le choix du premier ministre,1
le choix personnel pour le vaccin,1
le climat et l'inflation,1
le climat et l'économie,1
le climat et l’urgence climatique,1
le climat et plus de pouvoirs aux provinces,1
"le climat, l'environnement",1
le compromis,1
le controle des dépenses,1
le contrôle de la covid,1
le contrôle de la dette pour les générations futures,1
le contrôle de la socété,1
le contrôle des armes et les garderies,1
le contrôle des armes à feu,1
le contrôle des armes à feux,1
le contrôle des dépenses,1
le contrôle des mesures liées à la pandémie,1
le contrôle des québécois sur leur aspirations,1
le corona-virus,1
le cou de la vie,1
le covid 19,1
le covid 19 et ses repercussion,1
"le covid, la crise sanitaire",1
le covid-19,1
le covit,1
le coût de l'épicerie devenue trop cher,1
le coût de la vie et l'éducation,1
le coût de la vie et logement à faible revenu,1
le coût ridicule pour se payer un toit sur la tête!,1
le cvid,1
le domaine de la santé,1
le droit de lavortement *egalite femme-homme,1
le droit des femmes et l’environnement,1
le déficit et les finances publiques,1
le déficit financier,1
le déficit fédéral,1
le déficit.,1
le désire du pouvoir du parti libérale,1
le financement du 3ème lien québec-lévis,1
le francais,1
le français au canada,1
le gaspillage de fonds publiques,1
"le gros bon sens a tous les niveaux -finances, santé, social, environnement.",1
le libre choix de la vaccination,1
le logemen et la gestion de la pendemi au canada,1
le logement et la pauvreté,1
le manque d'employés,1
le manque de main-d'oeuvre,1
le manque de travailleur dans le domaine de la santé,1
le manque d’employés dans presque tous les secteurs d’activité,1
le manque flagrant de main-d'oeuvre,1
le marché de l'emploi,1
le mieux être de la personne âgée,1
le milieu de la santé,1
le mode de scrutin,1
"le multiculturalisme, le droit des minorités de genre et empêcher les conservateur de prendre le pouvoir.",1
le niveau de la dette,1
le nombre de vote,1
le partage de la richesse,1
le partage des compétences entre quebec et ottawa,1
le passeport vaccinable,1
le passeport vaccinal,1
le passeport vaccinal et le code qr pour les activités de tous les jours,1
le place des francophones dans la fédération,1
le plein pouvoir pour transiger nos règles sur notre démocratie et nos droits quand nos propres choix en oubliant volontairement la charte des droits et libertés.,1
le post pandémie,1
le post-pandémie,1
le pouvoir de dicter sans égare au gens,1
le pouvoir de justin trudeau ( dépenses inutiles de fonds publics),1
le premier ministre justin trudeau veut devenir le premier ministre majoritaire.,1
le prix des logement le salaire et lenvironement,1
le prix des logements,1
le prix élevé de l'immobilier,1
"le programme des garderies, pour mon fils avec son fils à toronto",1
le quebec,1
le quebec bashing. on est écœuré du harcèlement des red necks.. and the rest of canada for that matter.......,1
le quebec et la langue francaise,1
le québec dans un canada,1
le québec et le français,1
le racisme et la haine envers le québec du canada,1
le raciste,1
le rechauffement climatique,1
le redicule de déclencher des élections pendant la pandémie,1
le redressement des finances publiques,1
le rejet de la vaccination obligatoire et le censure du ppc qui est pourtant plus populaire que le bloc ou le parti vert,1
le reprise économique liée au covid,1
le respect  des fonds publics,1
le respect de l'environnement,1
le respect de la charte des droits et libertés,1
le respect de la constitution,1
le respect de la démocratie,1
le respect de la nation québécoise,1
le respect des canadiens français au canada et les accusations non fondées de racisme des québécois.,1
le respect des champs de compétences provinciaux,1
le respect des compétence provinciales,1
le respect des compétences,1
le respect des compétences de la province du québec,1
le respect des compétences des provinces dans le respect  de la constitution.,1
le respect des compétences du québec par le gouvernemet fédéral.,1
le respect des compétences exclusives des provinces.,1
le respect des compétences provinciales et les transferts fédéraux adéquats,1
le respect des compétences provinciales.,1
"le respect des droits (transferts), de la langue et des juridictions du québec",1
le respect des droits de la personne,1
le respect des droits des citoyens,1
le respect des droits et libertés,1
le respect des francophones,1
"le respect des juridiction, les finances, l'intégrité du gouvernement",1
le respect des juridictions,1
le respect des juridictions des provinces,1
le respect des juridictions provinciales,1
le respect des minorités dont les francophones!,1
le respect des pouvoirs du québec,1
le respect des promesses,1
le respect des québécois (ses),1
le respect du québec,1
le respect du vote et le résultat,1
le respect et notre liberté de pensée.,1
le retour a la normal,1
le retour a la normale,1
le retour a l’equilibre  budgetaire,1
le retour à l'équilibre budgétaire,1
le retour à la normalité,1
le retour à la normalité après la pandémie,1
le retour à une équilibre budgétaire,1
le revenu et soins pour le personnes agées,1
le règlement des amendements sur la loi sur les langues officielles (llo).,1
le réchauffement,1
le réchauffement  climatique,1
le réchauffement climatique et la diversité,1
le réchauffement climatique et la pollution en générale,1
le réchauffement de la planète.,1
le réchauffement planétaire,1
le réseau de la santé,1
"le réseau express de la capitale (3e lien, tramway de québec)",1
le résultat,1
le rétablissement de l'économie post pandémie,1
le salaire et les logements,1
le salaire la famille,1
le salaire minimum,1
le service de la santer,1
le service de sante,1
le seul enjeu de cette élection est que le gouvernement soit majoritaire,1
le seul enjeu que je vois est que les libéraux pensaient qu'ils étaient en bonne position pour un gouvernement majoritaire,1
le souhait de justin trudeau d'avoir un gouvernement majoritaire,1
le spectre de la covid et l'urgence climatique,1
le statut du québec,1
le supplément de revenu garanti,1
le systeme de santer,1
le système de la santé,1
le système de santé du québec,1
le système legale,1
le taux d' inflation,1
le timing,1
le traitement réservé aux personnes de plus de 60 ans,1
le transfert aux provinces sans conditions .,1
le transfert d'argent en santer,1
le transfert de fonds aux provinces pour la santé.,1
le travail,1
le travaille,1
le troisième liens,1
le type de fédéralisme,1
le variant delta,1
leader,1
leader ethics.  unkept promises.  our current deficit.  climate change.,1
leader who is good,1
leaders,1
"leaders make up all kinds of promises, just to get elected, especially for this election they are selling our soul to the indians,",1
leadership & common sense,1
leadership - accountability,1
leadership and economy,1
leadership and ethics,1
leadership démocratique du pays,1
leadership en tant de crise,1
leadership integrity,1
leadership lacking,1
leadership not corrupt,1
leadership of the country,1
leadership qualities,1
leadership quality and honesty,1
leadership to see us through the pandemic,1
leadership who cares,1
leadership with vision,1
"leadership, ethics, integrity",1
"learning to live with covid, opening borders and getting back to normal life without masks or vaccine mandates.",1
leclimat,1
lenvironnement,1
lequité salarial,1
les ainé(e)s,1
les ainés et le francais,1
les animaux et l'environnement,1
les armes,1
les armes a feux,1
les armes à feu,1
"les autochtones, l'environnement",1
les budgès,1
les canadiens,1
les champs de compétence,1
"les champs de compétences des provinces, santé, le français, la nation québécoise.",1
les champs de compétences et la langue,1
les changements climatique,1
les changements climatique et de loin,1
les changements climatiques et la santé,1
les changements climatiques et leurs impacts.,1
les conditions de travail et la réduction de l’écart entre les riches et les pauvres,1
les conflits sociaux - la mentalité anti-autorité,1
les conséquences du dérèglement climatique et ce qu'on doit fair pour les atténuer,1
les depenses,1
les deux solitudes (québec et canada),1
les disparités régionales,1
les droits autochtones,1
les droits bafoués en lien avec le vaccin obligatoire pour le personnel de la santé,1
les droits des premières nations,1
les droits du québec,1
les droits et l'accessibilité de l'eau potable des premières nations,1
les droits et libertés constitutionnelles,1
les droits et libertés individuelles qui ont été bafoués par les gouvernements depuis le début de la covid,1
"les droits et libertés, l’equilbre budgétaire",1
les droits fondamentaux,1
les décisions imposées après les votes,1
les déficits,1
les déficits totalement débiles du gouvernement et de tous les partis sérieux,1
les dépense inutiles,1
les dépenses du gouvernement,1
les dépenses exagérées et l'endettement,1
les dépenses faramineuses de notre gouvernement,1
les dépenses folles de 1er ministre trudeau et il va à l’encontre de la chartre des droits et libertés des personnes,1
les dépenses publiques,1
les dépenses trop élevées,1
les dérives woke,1
les emplois et augmenter le chômage,1
les enfants,1
les enjeux reliés à la pauvreté et les inégalités sociales,1
les enjeux sociales,1
les femmes et les enfants,1
les finances du canada,1
les finances du cananda,1
les finances du pays,1
"les finances publiques, dette",1
"les finances publiques, la covid  et l’environnement",1
les fonds postpandémique,1
"les garderies, l’environnement,",1
les gaufres belges,1
les gens âgés,1
les hopitaux,1
les impots,1
les impots et l’environnement,1
les impôts trop élevé,1
les inégalités,1
les inégalités sociales (davantage mises de l’avant par la pandémie),1
les liberaux cherchent elu majoritaire,1
les libertes individuelles,1
les libéraux pour être majoritaires,1
les libéraux tente le tout pour le tout avec espérance d'être majoritaire,1
les logement abordables,1
"les logements, la santes",1
les mensonges de trudeau,1
les mesures politiques (appelées aussi sanitaire),1
les mesures pour lutter contre la covid 19,1
"les mesures sanitaire ,la corruption ,les dépenses",1
les mesures sanitaires reliés a la covid-19,1
"les mesures sanitaires, le prix de la vie",1
les pensions de vieillesse et revenu de supplément,1
les pensions des personnes retraité qui sont totalement ridicule..!!,1
les pensions pour les personnes de 65 ans et plus nous donner ce qu`ils ont donné en pcu au jeunes qui n`avait pas encore travailler.,1
les personnes agees,1
les personnes ainées,1
les personnes âge,1
"les personnes âgées, et l'environnement",1
les places en garderie,1
les problemes avec la chine pour l'arrestation de la dame de huawey sur demande des usa. personne en parle???,1
les promesses électorales tenue,1
les relations fédédrales- provinciales,1
les relations internationales,1
les respect des idées des canadiens,1
les ressources accordées en santé et aux obnl luttant contre la violence conjugale,1
les revenue des familles failles et moyennes revenue,1
les revenus de retraite,1
les services aux aînés baby boomers,1
les services de santer,1
les services de santé,1
"les services de santé,les centre pour personnes agé,etc",1
les services offerts aux familles,1
les soin de sante,1
les soins de la santé,1
les soins de sante,1
les soins de sante pour les aines,1
les soins de santé et les garderies,1
les soins de santé et services sociaux,1
les soins en santé...que le français soit reconnu comme une langue officielle,1
les soins relatifs,1
les soins santé,1
les transfert en santé aux provinces,1
les transferts au provincr,1
les transferts aux provinces,1
les transferts d'ardent aux provinces,1
"les transferts d’argents en santé aux provinces,",1
les transferts en santé et les allocations pour les aînés.,1
les transferts pour la santé,1
les transféres,1
les valeurs canadiennes,1
les valeurs et les causes défendu par les parties,1
les énergies fossiles causant le réchauffement climatique,1
less government control,1
less immigration,1
less pretending and get job done,1
less ungrateful immigrants and cost of living,1
let's take care of seniors,1
letting in all these third world people,1
"letting too many immigrants in to take our jobs, healthcare, housing, business's, etc.",1
levelling the economy and balancing the budget,1
lgbtq+ issues and post secondary studies,1
liberal compare au conservateur,1
liberal corruption in federal government.,1
liberal deceipt,1
liberal majority,1
liberal mishandling of our economy,1
liberal party incompetence,1
liberal party leadership,1
liberal party of canada criminal corruption,1
liberal spending and cronyism,1
liberals win,1
liberals winning again,1
liberation,1
liberaux majoritaire,1
liberls dont win,1
liberte,1
liberte individuelle,1
liberter,1
liberty if choice,1
liberty.,1
liberté   prospérité,1
liberté d'expression,1
liberté de choix,1
liberté du peuple,1
liberté individuelle,1
liberté personnelle,1
liberté religieuse,1
libre choix,1
libre choix de la vaccination,1
libre choix du vaccin sans contrainte,1
"libre choix, droit de la personne",1
librrals,1
libérez nous des libéraux !!!!,1
lies,1
"lies told by everyone, nothing is ever taken care of",1
life,1
life after covid,1
limite aux dépenses du gouvernement,1
limited choices in my area and no party is good to choose,1
limiter les dépenses,1
little choice of good honest leadership,1
livable income and sick of the kindergarten of the politician who are only looking for them self's and not for the people of canada,1
living equality,1
living expense,1
living in a free country and able to make free choices,1
living under poverty,1
living wage,1
living wage and health care,1
living wage pension for seniors who have worked all there lives and for the parties to notuse this modey as ther own personal bank,1
"living wage, reasonable support for people on social assistance(overlooked/ignored during covid-19), affordable housing!",1
"lla dette, le probleme afghans, le climat et la santé.",1
loans and grants for students,1
local economy,1
"lockdowns, vaccine passports, and restrictions of rights and freedoms",1
logement abordable,1
logement abordable et climat,1
logement abordable pour tous,1
logement et pénurie de main d'œuvre,1
logement social pour les faible revenu,1
loi 21,1
loi 96 loi 21,1
long term care funding,1
"long term care reform. no more large privatized for profit corporations - extendicare, revera, chartwell. we must protect the most vulnerable of our seniors. .",1
long term debt and how we are going to pay it back,1
long term plans,1
long term viability of the canadian economy,1
long-term care homes in the pandemic,1
longterm care,1
longterm care facilities,1
looking after our veterans,1
looking after seniors  ccp and oap increase !,1
"looking after the old, sick and disabled.",1
looking for a universal pharmacare program,1
looking for the help they keep telling us about giving the seniors a healthy increase in our old age pension,1
looking to contribute to canada and canadians,1
loosening covid restrictions,1
losing my rights and freedoms because i don't want an experimental vaccine,1
losing our freedom,1
losing our freedoms,1
loss of choice,1
loss of economy and how govt intends to make it back,1
loss of freedom,1
"loss of my democratic rights to appease specialty groups.  this is any ""group"" of individuals who receive special privileges and in so doing deny other canadian citizens their rights in order to accommodate those special people  democracy is failing because of this approach.",1
loss of my freedom and ability to make my own decision,1
low income,1
low income equality,1
low income housing and economy,1
low income people,1
low income programs,1
low income rentals,1
low interest rates for savings; rising cost of living.  my savings are earning nothing while i am paying more and getting less for everything!,1
low pension payments that low income seniors are getting,1
lower cost of living,1
lower costs for housing,1
lower day care cost,1
lower food costs,1
lower housing,1
lower housing costs and free dental and eye coverage for seniors,1
lower taxes and living affordability,1
lower taxes and more funding to low income services.,1
lower taxes and stop giving money away,1
"lower taxes, more money in cpp and oap",1
lowering cell phone rates for seniors,1
lowering cost of living,1
lowering deficit,1
lowering housing and rent,1
lowering living costs in canada especially ontario/toronto region,1
lowering prices of goods and services,1
lowering taxes & gas prices,1
lowering taxes for the middle class.,1
lowering the cost for a record suspension so i can find employment with dental benefits and a livable wage that lets me pay my student loans,1
lowering the cost of housing that makes it unaffordable to live,1
lowering the cost of living,1
lowering the tax burden,1
ltc,1
lutte aux changements climatique et le respect des lois du québec,1
lutte aux changements climatiques,1
lutte aux changements climatiques et protection de l'environnement,1
lutte aux gaz a effet de serre.,1
"lutte contre la pandemie, retour a une vie normale",1
lutter contre la pandémie (vaccination obligatoire),1
là dette,1
là pandémie,1
l’ economie,1
l’accès à la couverture sociale,1
l’aide dû fédérale au province,1
l’aide pour les personnes de 60 ans et plus.,1
l’appréciation des nouvelles approche sanitaire,1
l’après covid 19,1
l’après pandemie,1
l’assurance complète pour tous,1
l’atteinte de l’équilibre budgétaire,1
l’augmentation des crimes avec violence/armes,1
l’autonomie des provinces,1
l’avenir de notre société,1
l’avenir du français au canada,1
l’avenir financier,1
l’ecologie,1
l’economie apres pandemie,1
l’education,1
l’endettement,1
l’endettement accéléré du canada,1
"l’enjeu, c’est de donner au gouvernement fédéral la majorité.",1
l’environnemen,1
l’environnement changements climatiques,1
l’environnement et la dette.,1
l’environnement et la justice sociale,1
l’environnement et les peuples autochtones.,1
l’environnement et l’éducation,1
l’environnement(réchauffement climatique),1
"l’environnement, mais je suis très désillusionnée",1
"l’environnent , changements climatiques",1
l’immigration,1
"l’importance des soins de santé (des employés, des soins accessibles, de la santé mentale)",1
"l’urgence climatique. c'est triste que les partis en parlent si peu ... sauf les verts, mais je n’ai pas de candidat vert ds mon comté.",1
l’éc,1
l’écologie,1
l’économie du pays,1
l’économie en contexte de pandémie,1
l’économie et aide aux aînés,1
l’économie et la dette,1
l’économie et la dette du canada en 2021,1
l’économie et le retour au travail,1
l’économie suite à la pandemie,1
"l’économie, la dette",1
l’économie.,1
l’économie…. comment allons-nous nous relever de la pandémie. la pénurie de la main-d’oeuvre… la place du québec dans les préoccupation des différents partis.,1
l’élection d’un gouvernement majoritaire,1
l’équilibre budgétaire.,1
"l’équilibre des enjeux économiques, environnementaux et sanitaires",1
l’état de l’environnement,1
l’état des finances publiques,1
m. trudeau veut s'assurer une majorité de sièges pour diriger le pays comme il le veut.,1
main d'oeuvre et immigration,1
main d’œuvre,1
maintaining current level of living and security,1
maintaining freedom of choice with vaccination,1
maintaining our current healthcare system,1
"maintaining our freedoms!  having the right to our bodies, and not having governments telling us what to do; they work for us; not us for them!",1
maintaining rights and freedoms,1
"maintaining social services, including healthcare",1
maintenir des pouvoirs pour le québec et ses champs de compétence,1
maintenir l'autonomie québécoise,1
"maintenir les libertés de choix des canadiens, tout en respectant les droits individuel et collectif des canadiens. de plus, faire prendre conscience aux canadiens que nous avons des responsabilités individuelles et collectives.",1
maintenir les programmes d'aide aux familles,1
maintenir un gouvernement minoritaire,1
maintient de la démocratie,1
majoritaire,1
majorite  liberale,1
majorite du parti liberal,1
majority,1
majorité,1
majorité libéral,1
majorité à la chambre,1
make a decision,1
make better health system,1
make-rich-pay-there-tax,1
makig people job ready ..give people skill training instaed of giving social assistance to every one,1
making abortion illegal,1
making canada pro-life,1
making certain that we all get vaccinated.,1
making covid-19 vaccination mandatory,1
making everyday life more affordable for everyone,1
making home ownership more possible,1
making housing market affordable again,1
making it hard for students to vote,1
making life more affordable whoever gets in,1
making more sustainable choices going forward,1
making sue that we have covid19 under control,1
making sure a party that believes i deserve my basic human rights wins and not the cpc,1
making sure ballots are legitimate.,1
making sure education (in person education) gets back on track asap and never goes online again,1
making sure everyone votes,1
making sure my family isn't overly taxed as we are upper middle class & we can only afford so much,1
"making sure right wing parties don't get a foothold in parliament, and that includes the new version of conservatives",1
"making sure that canadians have, can keep, and continue to find jobs.",1
making sure that the conservatives absolutely do not get in,1
making sure the conservatives don't get a majority.,1
making sure the conservatives loss,1
making sure the liberal party doesn’t get power,1
making sure the most vulnerable people are taken care of,1
making sure the right party is chosen that will drive canada further,1
making sure trudeau doesnt get in again,1
making sure trudope is defeated,1
making sure we don't get taxed to death,1
"making the distribution of wealth more equal and fair, and making the purchasing of homes affordable",1
making the healthcare system better,1
"making the provincial payments more equal, having alberta's vote count just as much as ontario's",1
making the tax system fairer,1
making things affordable for the average canadian,1
making things mandatory hat shouldnt be,1
making things more affordable,1
manage a transition from covid,1
management of covid 19,1
management of covid pandemic and economic recovery,1
managing canada's budget,1
managing covid-19,1
managing covid-19 and restoring the economy to that of better days prior to the pandemic,1
managing covid-19 and those opposed to vaccination,1
managing covid.,1
managing the budget,1
managing the country's debt,1
managing the covid pandemic,1
managing the covid-19 pandemic,1
managing the covid19 pandemic,1
managing the current covid 19 situation quickly and efficiently,1
managing the economy combined with covid,1
managing the on-going pandemic and recovering from that,1
managing the pandemic and associated economic issues,1
managing the pandemic issues in canada,1
mandate vaccines,1
mandated vaccination & removing our freedoms,1
mandated vaccinations,1
mandates,1
mandates and censorship,1
mandating vaccines,1
"mandating vaccines, i am immune compromised and put my health at risk in setting where others are not vaccinated.",1
mandatory covid vaccine,1
mandatory covid vacxinations,1
mandatory vaccination - pro,1
mandatory vaccination / covid crisis,1
mandatory vaccination and the polarization caused by policy for political gain at the expense of human rights,1
mandatory vaccinations should never even be considered,1
mandatory vaccine and passport,1
mandatory vaccine and vaccine passports,1
mandatory vaccine policy,1
mandatory vaccines & passports.   and what's next?,1
"mandatory vaccines, passports and lockdowns",1
manque de mains d’œuvre,1
manque d’éducation de beaucoup d’électeurs,1
many,1
many says that this election should be postponed due to pandemic,1
marginalization and polarization damaging national unity,1
marijuana,1
mask and vaccine mandates,1
massive federal deficit,1
massive overspending by the government.,1
maternal health,1
mauvaise,1
measures related to the pandemic,1
measures to control pandemic,1
media,1
"media manipulation and corruption, lack of freedom of speech",1
medical care for seniors,1
medical for seniors,1
"medical freedom, freedom of speech, economics",1
medical freedom.,1
medical hair,1
medical healthcare seniors,1
medical issue,1
medical system,1
meilleur gestion des dépenses,1
meilleur gestion du budget et relance économique,1
"meilleure qualité de vie, avoir un loyer raisonnable et une pension qui a du bon sence",1
meilleure répartition de la richesse,1
meilleures avenirs pour le canada,1
"mental health & addiction, violence",1
mental health accessibility to affordable counseling,1
mental health and addictions,1
mental health and drug addiction issues,1
mental health and drug detox facilities,1
mental health and healthcare,1
mental health and housing,1
mental health and proper funding for people’s with mental illness (more money) living like this is hard and i thought disability is different from welfare but not to the government,1
mental health availability and affordable housing,1
mental health care,1
mental health care access,1
"mental health care, government spending",1
mental health help,1
mental health issues,1
"mental health, finances",1
mental healthcare,1
mental supports and teh economy helathcare,1
mesure familiales - garderies,1
mesures  sanitaires  covid  19  protection   population  système de  santé+ reprise  economique  +,1
mesures covid,1
mesures pour la pandemic,1
mesures pour les aînés,1
mesures à prendre contre le réchauffement de la planète,1
mesures écologiques,1
meteo,1
mette dehors celui qui nous fait honte,1
mettre de l'ordre dans les finances publiques  et avoir un plan de réduction de la dette,1
mettre en place le moins con,1
mettre fin a l épidémie,1
mettre fin a la folie de legault ou devrais je dire hitler,1
mettre fin au gouvernement de justin trudeau,1
mettre fin aux depenses et mesures covid,1
mettre fin à la dictature sanitaire,1
mettre l’argent aux bon endroit,1
mettre trudeau dehors,1
mettre un terme à cette dictature,1
microclimat,1
middle class and criminal justice system,1
middle class issues,1
middle class living and child care,1
middle class working people,1
military budget,1
minimum wage,1
minimum wage ...and not getting much for the child tax,1
minimum wage and housing,1
minimum wage increase,1
minimum wages peovincially,1
minority class differences priority,1
minority government,1
minority rights in quebec,1
"misappropriation of funds , scandals and lies",1
mise en place d un programme post covid,1
misinformation,1
misinformation spread on the internet,1
mitigating the vaccine process across canada and combatting vaccine hesitancy.,1
"modernizing our energy sector to better adapt to the quickly changing global energy realities as the world pivots away from burning oil, coal, and gas for fuel.",1
modifier le mode de scrutin,1
moey for those on wsib,1
"moi ce qu’il me donne, l’environnement et la scolarité",1
moins de programmes sociaux,1
mon représentant locale,1
mone,1
monetary and fiscal policy,1
monetary issues,1
monetary policy,1
monetary policy and federal debt/spending,1
money and jobs,1
money costs,1
money for families,1
money for families with older kids (10 & up),1
money for families/ help with rent,1
money for mental health,1
money for people's on assistance,1
money for seniors,1
money going out to people on cews,1
money spent,1
money spent just for election purpose,1
"moral excellence, christian values",1
moral leadership,1
morality,1
"morality, and all the leaders lack this!  they are against god by their policies!",1
morals,1
more assistance to seniors,1
more benefits for seniors,1
more effective and strict covid control,1
more financial help for seniors,1
more funding for health and education,1
more funds for seniors who have contibuted to this country and less for those who have immigrated and do not work,1
more government transparency and a competent leader,1
more health resources,1
more help for seniors,1
more jobs,1
more jobs and wage increases,1
more jobs for cyc,1
more legislature for equitable housing and home ownership,1
more money,1
more money for cpp,1
more money for low income people and family,1
more money for people on disabilty,1
more money for people with a disability. they are living below the poverty line.,1
more money for poor,1
more money for seniors,1
more money for the elderly,1
more of the same,1
more opportunities,1
more policies/stricter policies for immigration,1
"more support for those on disability - personal care, financial",1
more than one,1
move toward reconciliation with the indigenous people of canada,1
moving economy forward out of the pandemic,1
moving forward from covid set backs,1
moving forward from the pandemic,1
moving forward with life post covid,1
moving forwards and real change,1
moving healthcare from a provincial responsibility to a federal responsibility,1
"mp are not responsible to the electors.  they lie to get in, and then ignore any correspondence to them",1
mr trudeau n'est selon moi pas un bon premier ministre,1
mr. trudeau has to be gone!!!!!!,1
mudslinging backstabbing politicians,1
"muskrat falls, and i do not want to see quebec scam newfoundland, like they did with churchill falls.",1
must keep on track with the covid-19,1
my bleak future,1
my constitutional rights of freedom of movement,1
my freedom,1
my freedom.,1
my income,1
my vote to be counted,1
n,1
nation québécoise,1
national and individual debt,1
national child care,1
national childcare,1
national debt and deficits,1
national debt and federal budget,1
national debt levels,1
national debt/deficit,1
national defence and veterans support,1
national defense procurement,1
national deficit,1
national deficit and debt,1
national dept,1
national pharmacare program,1
national subsidized day care,1
nationalisme,1
native,1
native land claims and restitution,1
native peoples,1
native rights,1
native rights and access to clean drinking water,1
native rights and issues,1
natives,1
natural resource development,1
navigating the covid-19 pandemic,1
navigating the pandemic both current and post recovery,1
ne pas avoir de gouvernement libéral,1
ne pas avoir un gouvernement libéral,1
ne pas dilapider inutilement les fonds publiques.,1
ne pas donner la majorité au libéraux,1
ne pas empiéter sur les juridictions provinciales,1
ne pas porter les conservateurs au pouvoir,1
ne pas régressé.,1
ne pas réélire justin trudeau,1
ne pas réélire justin trudeau!!!,1
ne pas réélire le parti conservateur dû a ses positions trop de droite qui ne me rejongnent pas,1
ne sais pas encore,1
ne sais pas...,1
need a change in direction; replacement of current government,1
need a change in government,1
need a new leader,1
need for proportional representation,1
need systemized information about all candidates and what do they present,1
need to engage and make more accessible for indigenous communities,1
need to get rid of covid to reopen the economy,1
needless government spending,1
needs of canadians,1
needs to be supplied to each |canadian equally.,1
negotiating a pension deal with the uk to unfreeze ex-pat pensions,1
netural,1
new,1
new delta variant of covid 19,1
new leadership,1
new universal child care subsidy,1
nimporte quoi,1
nine,1
"no  ,  tankers  no pipelines.",1
no bloc in the parliament,1
no choice,1
no clue,1
no covid vaccine passport,1
no diversity in parties,1
no election,1
no election during covid,1
no equitable representation across ridings,1
no good,1
no good candidate,1
no good candidate for pm role,1
no good candidates,1
no good choice,1
no good jobs,1
no important issue; what is important is not having a conservative government,1
"no industry in canada, therefore no jobs... why do you bring people here to suffer?",1
no interest,1
no issue takes 1st priority for me personally,1
no leaders who should become a prime minister of canada,1
no liberlals,1
no lockdowns,1
no low cost housing,1
no mandates/vaccination,1
no mandatory vaccine,1
no mandatory vaccine passports,1
no mandatory vaccines or vax passports and the truth come out about covid 19/full transparency regarding the pandemic,1
"no mask passports,  economy, affordable housing, health care, senior care and childrens' care getting back the money lost to this country, thanks to trudeaus handling of the pandemic",1
no matters,1
no more big spending,1
no more lockdowns and no mandatory vaccines and vaccine passports,1
no need for an election in the middle of the pandemic,1
no need for this election at this time,1
no one i can trust to be a leader,1
no one is good,1
no particular issue,1
no plans ahead,1
no problem,1
no quebec separation,1
no respect to the canadian human right act,1
no specific issue,1
no squabbling among the candidates,1
no strong feeling,1
no tax increases,1
no vaccine mandates,1
no vaccine passports - no covid lockdowns - no mandated vaccines - open up the country,1
no vaccine passports and more money for people on disability,1
"no vax pass, lower taxes, eliminate carbon tax, lower electricity, stop the mo ey handouts to people not willing to work, freedom",1
no work and and our medical sucks the government is an idiot the only one making moni makes me sick i'll never vote for anyone of them,1
nobody is able to solve any problems except spending way more money and making living in toronto unaffordable,1
non a vaccination obligatoire et non au passeport vaccination,1
non au pass sanitaire,1
non election,1
non so far,1
"non-antagonistic, non-imperialist foreign policy with other countries",1
non-transparency in govt,1
none in particular,1
none of the leaders are capable of running this country confidenltly,1
none so far,1
"none, i don't vote",1
"none, i don’t vote",1
nonw,1
nope,1
normalizing life and having business open due to covid,1
"nos aines, car nouscallons tous passer par là un jour",1
nos droits,1
not,1
not allowing vaccine passports and removing vaccine work mandates,1
not avl,1
not becoming like trump's america,1
not being able to visit grandchildren in u.s.  (for 18 months)  but us citizens now allowed in canada,1
not being in a communist country. justin trudeau said he would take away human rights and democracy to those who are unvaccinated. this is a huge human rights issue.,1
not cutting more taxes,1
not electing the conservative,1
not electing the conservatives or ppc,1
not enough capable candidtes,1
not enough diversity among candidates,1
"not enough money given to people on disability, like ontario disability support program. they get below minimum wage, they don't eat some days because of that.",1
not enough voices from the small parties,1
not fair,1
not giving money away to everyone,1
not going backwards in values,1
not going backwards on covid,1
not gonna vote,1
not good,1
not having a liberal or conservative government,1
not having a proportional election,1
not having one,1
"not having quebec lose its' english rights because of legaults new laws, bill 96, which invokes the notwithstanding clause, and trudeau basically said, sure, go ahead. i believe he let us down!",1
not having the conservatives win,1
not having to fight so hard for my dtc - disability tax credit,1
not having trustworthy candidates,1
not interested,1
not letting conservatives win - we don't need anti vaxxers or pro lifers in power,1
not listening to the peoples voice,1
not losing my freedoms,1
not making false promises,1
not needing to get a covid vaccine.,1
not quite ready for a change,1
not re-electing trudeau,1
not right time,1
not seeing muscle photos of erin o'toole.,1
not spending excessive money we don’t have,1
not supporting all provinces equally,1
not sure - i have more than one issue that are very important,1
not sure at this time,1
not sure exactly,1
not sure i can narrow it to just 1,1
not sure various issues,1
"not sure, probably climate change and bettering the economy",1
not sure?,1
not to become a communist country,1
not to change the govt. right now,1
"not to elect the same prime minister ,to get canada out of debt",1
not to have the conservatives win!,1
not to tax us too much to recover the debt,1
not trudeau,1
not yet,1
nothing - it should never have been called,1
